golden_id,conversation_id,customer_message_id,customer_text,context,rule_suggested_intent,human_final_intent,primary_intent,secondary_intent,is_multi_intent,annotation_confidence,label_changed,annotator_notes
G0011,2774789,2774789,@Delta How can I enroll my infant daughter in Skymiles? Child application form has disappeared from the Delta website.,,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,,false,HIGH,false,Confirmed. Question on enrolling infant daughter into SkyMiles loyalty program. SKYMILES_OR_LOYALTY.
G0012,986498,986498,.@Delta @824 you are the worst airline. Your rep wouldn’t check my bag. Told me to rebook even though I was at the desk on time.,,CANCEL_OR_CHANGE_FLIGHT,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,CANCEL_OR_CHANGE_FLIGHT,true,HIGH,true,"CHANGED from CANCEL_OR_CHANGE_FLIGHT. Rep refused to check bag at airport counter and forced rebooking. Core failure occurred at check-in counter. Primary=CHECKIN_OR_BOARDING, secondary=CANCEL_OR_CHANGE_FLIGHT."
G0013,2313447,2313447,50 minute connection time in #DTW to international flight on peak travel day. Fingers crossed. @delta @192684,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,MEDIUM,false,Confirmed. Anxiety over 50-minute connection in DTW to international flight on peak travel day. Real-time connection concern. FLIGHT_STATUS_OR_DELAY.
G0014,265686,265686,@Delta absolute worst service I have ever experienced - almost 2 weeks and still no sign of my luggage! Your system DOES NOT WORK,,BAGGAGE_ISSUE,BAGGAGE_ISSUE,BAGGAGE_ISSUE,COMPLAINT_OR_FEEDBACK,true,HIGH,false,"Confirmed. Luggage missing for nearly two weeks. Primary=BAGGAGE_ISSUE, secondary=COMPLAINT_OR_FEEDBACK."
G0015,2960731,2960731,I hope no one is flying @AmericanAir to go home for Christmas. https://t.co/Hfd9UF3Gtj,,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,MEDIUM,false,"Confirmed. Social commentary tweet regarding holiday travel on competitor airline, tagging Delta. COMPLAINT_OR_FEEDBACK."
G0016,1643478,1643478,@Delta 2hr+ wait for a call back?! It’s now been 4 hrs and I haven’t heard back!,"[SUPPORT]: @502299 Hi, Jennifer. Our apologies this is taking longer than expected. Our Reservations team is working diligently to assist all passengers... 1/2 | [SUPPORT]: @502299 ...in a timely manner. Please advise if we can be of assistance via this channel instead. *AFN 2/2",AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,false,Confirmed. Complaining about 4hr wait for callback; underlying reservation problem is never mentioned. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0017,1752679,1752679,@Delta How early do I need to be at the airport for a Boston to Dublin flight? Hard to tell from the site if it's 3 hours or 4. Thanks!,,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,,false,HIGH,false,Confirmed. Pre-travel inquiry asking how early to arrive for BOS-DUB international flight. SCHEDULE_OR_BOOKING_INQUIRY.
G0018,2487561,2487561,@Delta Is there a way to receive customer service assistance without having to wait 2+ hours for a call back?,,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,false,Confirmed. Inquiring about faster support channels to avoid 2hr wait; underlying travel issue unspecified. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0019,1845762,1845762,@Delta this is my 100th segment and this guy was really rude. I just went along with it as I am going back to work. I flown with these 15x,,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. Customer reporting rude staff encounter on 100th segment; pure grievance. COMPLAINT_OR_FEEDBACK.
G0020,721823,721823,.@Delta what's the point of choosing a seat when booking a flight if it has no relation to where you end up sitting?,,SCHEDULE_OR_BOOKING_INQUIRY,SEAT_OR_UPGRADE,SEAT_OR_UPGRADE,COMPLAINT_OR_FEEDBACK,true,HIGH,true,"CHANGED from SCHEDULE_OR_BOOKING_INQUIRY. Grievance that selected seat during booking was not honored. Primary=SEAT_OR_UPGRADE, secondary=COMPLAINT_OR_FEEDBACK."
G0021,1745110,1745110,"Dear @Delta, you gave me the saddest b-day ever by bumping me down from 1st &amp; sending my friends away w/ $$$ &amp; leaving me behind. Mega woof!",,SEAT_OR_UPGRADE,SEAT_OR_UPGRADE,SEAT_OR_UPGRADE,REFUND_OR_COMPENSATION,true,HIGH,false,"Confirmed. Involuntary downgrade from First Class; friends given vouchers. Primary=SEAT_OR_UPGRADE, secondary=REFUND_OR_COMPENSATION."
G0022,2444430,2444430,@delta sitting on flight 1799 on the ground at JFK for last 10 minutes. Maybe you want to open a gate for us? #poorplanning,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. Flight 1799 sitting on ground at JFK waiting for a gate. FLIGHT_STATUS_OR_DELAY.
G0023,139217,139217,Loyal @Delta customer not happy being charged an extra $200 for a surfboard bag that was overweight by 12lbs. More than doubled the cost. Price gouging??,,BAGGAGE_ISSUE,PAYMENT_OR_CHARGE_DISPUTE,PAYMENT_OR_CHARGE_DISPUTE,BAGGAGE_ISSUE,true,HIGH,true,"CHANGED from BAGGAGE_ISSUE. Disputing extra $200 charge for surfboard bag overweight by 12lbs as price gouging. Primary=PAYMENT_OR_CHARGE_DISPUTE, secondary=BAGGAGE_ISSUE."
G0024,2180762,2180762,@824 where is the gate agent at gate C7 in RDU?  RDU to JFK,,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,,false,HIGH,false,Confirmed. Missing gate agent at Gate C7 RDU for flight to JFK prior to boarding. CHECKIN_OR_BOARDING.
G0025,1247391,1247390,@Delta still waiting for a reply and been on hold on the phone for almost an hour. this is terrible.,,FLIGHT_STATUS_OR_DELAY,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,true,CHANGED from FLIGHT_STATUS_OR_DELAY. Customer on hold for an hour waiting for reply; no flight or underlying issue stated. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0026,2288725,2288725,@Delta Can I use my Delta Skymiles to upgrade my ticket on a Korean Air flight?,,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,SEAT_OR_UPGRADE,true,HIGH,false,"Confirmed. Inquiring whether Delta SkyMiles can be redeemed to upgrade ticket on Korean Air partner flight. Primary=SKYMILES_OR_LOYALTY, secondary=SEAT_OR_UPGRADE."
G0027,260901,260901,"@delta Is the proper response for broken seat-keeps reclining(&amp;FA is getting attitude with you for not being upright) ""we will log it""???",,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. Reporting broken reclining seat in-flight and rude flight attendant attitude. COMPLAINT_OR_FEEDBACK.
G0028,825972,825972,@DELTA is there any chance at all that DL63 will be cancelled today? It keeps getting delayed.,"[SUPPORT]: @316720 Hi Pamela. I'm sorry for the delay. At this time, we don't show that the flight will cancel. *TKR",CANCEL_OR_CHANGE_FLIGHT,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,CANCEL_OR_CHANGE_FLIGHT,true,HIGH,true,"CHANGED from CANCEL_OR_CHANGE_FLIGHT. Customer asking if repeatedly delayed DL63 will be cancelled today (status inquiry). Primary=FLIGHT_STATUS_OR_DELAY, secondary=CANCEL_OR_CHANGE_FLIGHT."
G0029,1682884,1682884,Still in #MSP airport . My @delta flight is now 13 HOURS DELAYED 🤬 I really feel sorry for the families here with small children,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. Passenger stranded at MSP airport with 13-hour flight delay. FLIGHT_STATUS_OR_DELAY.
G0030,1432061,1432061,@Delta any way I can get some assistance or answers on my upcoming flight tomorrow? My app says a different flight from my most recent email,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,SCHEDULE_OR_BOOKING_INQUIRY,true,MEDIUM,false,"Confirmed. App shows conflicting flight information compared to email for flight tomorrow. Primary=FLIGHT_STATUS_OR_DELAY, secondary=SCHEDULE_OR_BOOKING_INQUIRY."
G0031,2342864,2342864,Never seen this error before @Delta https://t.co/010ExbW1sa,,CHECKIN_OR_BOARDING,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,true,CHANGED from CHECKIN_OR_BOARDING. Only an image link with 'Never seen this error before'; specific error domain cannot be determined without screenshot content. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0032,270997,270997,@Delta rude attendants on my wife's flight forcing her to check her bag with fragile items. Just adding to the anxiety of flying #ride,,BAGGAGE_ISSUE,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,BAGGAGE_ISSUE,true,HIGH,true,"CHANGED from BAGGAGE_ISSUE. Complaint regarding rude attendants forcing wife to gate-check carry-on with fragile items. Primary=COMPLAINT_OR_FEEDBACK, secondary=BAGGAGE_ISSUE."
G0033,2094921,2094921,@Delta any thoughts how many miles to upgrade me on my flight to Australia in Jan,,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,SEAT_OR_UPGRADE,true,HIGH,false,"Confirmed. Asking how many SkyMiles are required to upgrade flight to Australia in January. Primary=SKYMILES_OR_LOYALTY, secondary=SEAT_OR_UPGRADE."
G0034,2157817,2157817,"Hey @116462, @Delta role me to contact you about my Wi-Fi issue. I paid for in flight Wi-Fi and my plane wasn't equipped with it. Could I please have a refund or credit for my trip back to Austin on Saturday?",,REFUND_OR_COMPENSATION,REFUND_OR_COMPENSATION,REFUND_OR_COMPENSATION,,false,HIGH,false,Confirmed. Seeking refund/reimbursement for paid in-flight Wi-Fi after plane was unequipped. REFUND_OR_COMPENSATION.
G0035,874965,874965,@delta Any news on flights departing SFO today?,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. Status inquiry regarding general flight departures out of SFO today. FLIGHT_STATUS_OR_DELAY.
G0036,2140590,2140590,"Thanks, @Delta. I️ paid EXTRA for my exit row seat in advance and then you bump me for another passenger right before check-in? I️ guess I’m back to flying EVERY OTHER AIRLINE. 👎🏻😡",,SEAT_OR_UPGRADE,SEAT_OR_UPGRADE,SEAT_OR_UPGRADE,REFUND_OR_COMPENSATION,true,HIGH,false,"Confirmed. Paid extra for exit row seat in advance and bumped right before check-in. Primary=SEAT_OR_UPGRADE, secondary=REFUND_OR_COMPENSATION."
G0037,2444420,2444420,.@Delta flight from CVG to ATL on Jan 2 got moved up 1 hr and 20 minutes. Specifically booked the original time to fit into my schedule. What can be done to resolve this?,,SCHEDULE_OR_BOOKING_INQUIRY,CANCEL_OR_CHANGE_FLIGHT,CANCEL_OR_CHANGE_FLIGHT,,false,HIGH,true,CHANGED from SCHEDULE_OR_BOOKING_INQUIRY. Flight moved 1hr 20min earlier by schedule change; customer asks 'what can be done' seeking rebooking accommodation. CANCEL_OR_CHANGE_FLIGHT.
G0038,1467966,1467966,@Delta offers 2500 miles for a late bag and 4500 after serving nuts (bf is allergic). I guess someone's life isn't even worth two late bags.,[SUPPORT]: @460737 Sorry to disappoint. We hope that you change your decision to discontinue your loyalty and allow us to better serve you for your... 1/2 | [SUPPORT]: @460737 ...future travel needs. Have a good evening.  *HCA 2/2,BAGGAGE_ISSUE,REFUND_OR_COMPENSATION,REFUND_OR_COMPENSATION,BAGGAGE_ISSUE,true,HIGH,true,"CHANGED from BAGGAGE_ISSUE. Disputing adequacy of miles compensation (2500 miles for late bag, 4500 for allergy risk). Primary=REFUND_OR_COMPENSATION, secondary=BAGGAGE_ISSUE."
G0039,2837879,2837879,@Delta why don't you make sure your site actually works on one of the busiest days of the year?  Unreal !!! Have made multiple attempts to purchase these Cyber Monday fares only to receive this error message over and over and over.  Amateur Hour https://t.co/fS6Lvh71gB,,CHECKIN_OR_BOARDING,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,COMPLAINT_OR_FEEDBACK,true,HIGH,true,"CHANGED from CHECKIN_OR_BOARDING. Website failure occurred during Cyber Monday fare purchase attempts. Primary=SCHEDULE_OR_BOOKING_INQUIRY, secondary=COMPLAINT_OR_FEEDBACK."
G0040,2328548,2328548,Love me when I least deserve it because that's when I need it the most! #actress #actor #actorslife #womaninbiz #womaninlife #love @Delta https://t.co/NYn68STjQb,[SUPPORT]: @243849 Pleasure to have you with us! Nice pic! *HVI,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. Lifestyle/travel photo post tagging Delta; warm response from support. No support inquiry. COMPLAINT_OR_FEEDBACK (social).
G0041,2813076,2813076,Back to FL now. ✈️➡️TPA w/ @Delta. Last view over Manhattan. Spot Central Park.🌃 https://t.co/tJW1XxumhM,,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. Social post featuring view over Manhattan flying to Tampa. COMPLAINT_OR_FEEDBACK (social).
G0042,2504950,2504950,@Delta great support. (Sarcasm). Train check-in  2 not argue with customers. Makes awkward 4 other passengers like me. Flt 1826. #Delta,,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,COMPLAINT_OR_FEEDBACK,true,HIGH,false,"Confirmed. Sarcastic complaint regarding check-in staff arguing with customers at counter. Primary=CHECKIN_OR_BOARDING, secondary=COMPLAINT_OR_FEEDBACK."
G0043,328834,328834,"Dear @Delta, packing me in a taxi with 3 men I don’t know is not the 1st class experience I pd for. #diverted",,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,REFUND_OR_COMPENSATION,true,HIGH,false,"Confirmed. Diverted passenger packed into taxi with 3 strangers instead of 1st class accommodation. Primary=COMPLAINT_OR_FEEDBACK, secondary=REFUND_OR_COMPENSATION."
G0044,373727,373727,@Delta I have a connecting flight tomorrow and was put on standby. Is there a possibility I won’t be on that flight which I paid for?,"[SUPPORT]: @204569 Hello, Brad. Please DM me your confirmation number so I may check for you.  *TAC https://t.co/6iDGBJAc2m",FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,CANCEL_OR_CHANGE_FLIGHT,true,HIGH,false,"Confirmed. Inquiring about standby clearance likelihood for connecting flight tomorrow. Primary=FLIGHT_STATUS_OR_DELAY, secondary=CANCEL_OR_CHANGE_FLIGHT."
G0045,2542509,2542509,@Delta No Dan we're not going to Detroit. You waited all month to take your life frustrations out on a customer.,,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. Customer expressing anger toward a specific support agent named Dan. COMPLAINT_OR_FEEDBACK.
G0046,630076,630076,"Thanks @Delta @128969 for the great service and the ability to get me on an earlier flight. A big thanks to my gate agent, or should I say, ""Gate Angel""!",,CHECKIN_OR_BOARDING,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,true,CHANGED from CHECKIN_OR_BOARDING. Gratitude shout-out to 'Gate Angel' agent for getting customer on an earlier flight. COMPLAINT_OR_FEEDBACK (positive).
G0047,2620235,2620235,@Delta -Either use the zone line up process and have your gate agents enforce it or get rid of it all together. It is annoying to stand in a line and then have other people just walk in front of you to board the plane.,,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,COMPLAINT_OR_FEEDBACK,true,HIGH,false,"Confirmed. Feedback demanding gate agents enforce zone lineup boarding rules. Primary=CHECKIN_OR_BOARDING, secondary=COMPLAINT_OR_FEEDBACK."
G0048,1774151,1774151,@Delta Scheduled JFK-MSY @ 7:30 tonight &amp; co. 🚗 is crawling through traffic; can anyone help expedite TSA upon arrival? #lastflight #sos,,SCHEDULE_OR_BOOKING_INQUIRY,SPECIAL_ASSISTANCE,SPECIAL_ASSISTANCE,SCHEDULE_OR_BOOKING_INQUIRY,true,MEDIUM,true,"CHANGED from SCHEDULE_OR_BOOKING_INQUIRY. Passenger stuck in traffic for last flight asking if Delta can expedite TSA escort on arrival. Primary=SPECIAL_ASSISTANCE, secondary=SCHEDULE_OR_BOOKING_INQUIRY."
G0049,478214,478214,@Delta going to miss my connection from DET to PHX  to plane malfunction in RIC. is there a direct flight out??,,CANCEL_OR_CHANGE_FLIGHT,CANCEL_OR_CHANGE_FLIGHT,CANCEL_OR_CHANGE_FLIGHT,FLIGHT_STATUS_OR_DELAY,true,HIGH,false,"Confirmed. Missed connection due to plane mechanical malfunction; asks for direct alternative flight. Primary=CANCEL_OR_CHANGE_FLIGHT, secondary=FLIGHT_STATUS_OR_DELAY."
G0050,1160583,1160583,@824 what's the point of reaching out if you don't reply😤(or of  being a medallion member?) do I misunderstand the word assistance?,,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,SKYMILES_OR_LOYALTY,COMPLAINT_OR_FEEDBACK,true,HIGH,false,"Confirmed. Medallion member questioning the value of loyalty status when support ignores them. Primary=SKYMILES_OR_LOYALTY, secondary=COMPLAINT_OR_FEEDBACK."
G0051,293435,293435,Still sitting at the gate on @delta 2057 30 minutes after scheduled take off.  No word from crew as to why.,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. Flight 2057 sitting at gate 30 minutes after scheduled departure with no word from crew. FLIGHT_STATUS_OR_DELAY.
G0052,2564419,2564419,@Delta Hello. I cancelled a flight yesterday and was informed that I’d be given the flight cost as credit to use sometime in the next year. I’ve not received an email to confirm this or to provide instructions on how to redeem this credit. Your help is much appreciated.,,CANCEL_OR_CHANGE_FLIGHT,REFUND_OR_COMPENSATION,REFUND_OR_COMPENSATION,CANCEL_OR_CHANGE_FLIGHT,true,HIGH,true,"CHANGED from CANCEL_OR_CHANGE_FLIGHT. Flight already cancelled yesterday; customer is waiting for flight credit/voucher email instructions. Primary=REFUND_OR_COMPENSATION, secondary=CANCEL_OR_CHANGE_FLIGHT."
G0053,530919,530919,@Delta guys do you have a UK phone number please?,,SCHEDULE_OR_BOOKING_INQUIRY,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,true,CHANGED from SCHEDULE_OR_BOOKING_INQUIRY. Asking for UK phone number; underlying support issue is completely unknown. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0054,684107,684107,"@Delta, y’all continue to spoil me with your surprise seats upgrades 🤗. Happy Thanksgiving to you and especially those staff working to get others to their destination today. ✈️",,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,SEAT_OR_UPGRADE,true,HIGH,false,"Confirmed. Customer expressing gratitude for surprise seat upgrades on Thanksgiving. Primary=COMPLAINT_OR_FEEDBACK (positive), secondary=SEAT_OR_UPGRADE."
G0055,1197203,1197203,"@Delta Detroit out of control...no planes, no instructions' hotel rooms.Station manager at home in bed. Avoid Delta! https://t.co/4Fr4OCXSFa",,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,COMPLAINT_OR_FEEDBACK,true,HIGH,false,"Confirmed. Severe operational meltdown at Detroit airport with no planes, info, or hotel rooms. Primary=FLIGHT_STATUS_OR_DELAY, secondary=COMPLAINT_OR_FEEDBACK."
G0056,1577627,1577627,"@Delta as I sit (grumpy) in another airlines nonstop to DCA, I implore you for a nonstop from MIA or FLL to DCA",,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,,false,HIGH,false,Confirmed. Route request imploring Delta to offer non-stop service between MIA/FLL and DCA. SCHEDULE_OR_BOOKING_INQUIRY.
G0057,2322710,2322710,"Heading home for 12 days #tedsockie 😎🍸🏌🏻💪🏻🙌🏻

Make it a smooth ride @Delta ✈️

#FollowThePath #RonR... #NoLetUp!👊🏻 https://t.co/CWFhhJ9tVU",[SUPPORT]: @673036 Loving the sock game Ted!!  *ACJ,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,"Confirmed. Social holiday travel post showing custom socks, wishing for smooth ride. COMPLAINT_OR_FEEDBACK (social)."
G0058,791637,791637,"I'm at @Delta World Headquarters in Atlanta, GA https://t.co/Et8uaS1vTe",,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,false,Confirmed. Location check-in at Delta World Headquarters with no customer support request. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0059,394649,394649,@209508 standard @Delta Monday mechanical and missed connection.,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. Reporting standard Monday mechanical delay and missed connection. FLIGHT_STATUS_OR_DELAY.
G0060,1253399,1253399,@Delta Hey folks...just sent you a quick DM!  Thank you! =),,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,false,Confirmed. 'Sent you a quick DM' tweet with no issue details. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0061,1365014,1365014,We arrived @128969 @Delta https://t.co/broLzW2ZGP,,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,,false,LOW,false,Confirmed. 'We arrived' photo post with no support intent. AMBIGUOUS_OR_INSUFFICIENT_CONTEXT.
G0062,1025014,1025013,@Delta That took me to a QR scan and I scanned it and it didn't do anything,,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,,false,HIGH,false,Confirmed. Boarding/check-in pass QR code scan did nothing when scanned. CHECKIN_OR_BOARDING.
