example_id,customer_message,context,expected_decision,expected_reason_codes,reviewer_confidence,reviewer_notes,annotation_method
616527,@Delta I spoke too soon...had to circle #DCA several times so landing late and only about 30 min before orig flight. But #everymomentcounts,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
424465,@Delta Baggage team? what is the baggage team going to do? It wasn’t baggage it was the pants and shoes I was WEARING ALL FLIGHT.,,ESCALATE,LOW_CONTEXT,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2081112,@Delta has screwed me over today. Delayed my flight from 12:53 to 3:30 then took off early! DO NOT FLY DELTA!!!!!!,,AUTO_HANDLE,SAFE_INFORMATIONAL,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1872187,@824 heyyyy can you all help me get my bag.... ps tell your Ed Bastian he's driving customers apeshit with his policies,,ESCALATE,OTHER,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1001277,"@Delta a feature request for the Delta App? New name for this seat, it is not a window seat. Super disappointing. 14D DL5783 [URL]",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2924092,@Delta I already called and my luggage is set to arrive a day late. Is there a claim form I can fill out for the 10 hour flight delay plus the even more delayed luggage? A meal voucher for my additional travel time?,,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
826734,@Delta can pretty much always count on my flights to have issues when I'm flying with you 4 for 4 this year. Thanks.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1450262,"I’m just spitballing ideas here - how about a @Delta SkyClub in Vegas airport, with blackjack tables.",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1772235,@Delta I’d rather have a slight delay and know the plane is safe. You’re still my favorite airline!,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1625138,Upgraded to first class from Boston to Orlando? Must be the coat😘Thank you @Delta ...my goddaughter is in heaven with this surprise.🌴🌴 [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2118929,@Delta Some type of refund for all these delays?! Bought a ticket to leave at 830 and now I'm not departing until noon .🤔,,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1806012,"Delta Was Raising Money For Cancer On My Flight. Someone Made An Anonymous Donation Of $1,000 In Cash So Our Pilot Thanked Everyone @Delta 🤓 [URL]",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2143816,"Pretty disappointed @Delta, booked with a Delta Amex and still charged for first checked bag because it was an additional card and not the primary. Don't advertise ""first checked bag free"" if that's not the case. That's why we got the card.",,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1092671,@Delta The 3-hr phone &amp; 5-hr tweet delays added ~12 hrs in transit time &amp; a lost night of sleep for me. I’ll definitely choose Southwest next time.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2164850,@Delta But we didn’t get refund though so we weren’t able to book for a flight today. Is there something you can do?,,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2928191,Please @Delta could you unlock my Skymiles account ???,,ESCALATE,VERIFICATION_REQUIRED,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2736162,@Delta should not be allowed to move flights forward after already delaying them an hour and a half!!!Thank you for making me miss my flight back to school!,,ESCALATE,OTHER,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2077281,@Delta ridiculous! Cancel my flight. Just cancel. Get home HOURS AND HOURS later than what I paid for. No voucher for inconvenience. U suck.,,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
398928,@Delta My flight # is DL 1091 I’m losing going to work tomorrow and I may not get paid. I am afraid I might be accused of lying by my employee because of no evidence,,ESCALATE,VERIFICATION_REQUIRED,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
551344,@Delta wish Delta would waive change ticket fees for US servicemembers when we are moved to another post after ticket issue. I was charged $200,,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1880575,Still waiting on a refund from a flight I purchased 10/4 wtf @Delta,,AUTO_HANDLE,SAFE_INFORMATIONAL,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2067317,Paid additional $54 for preferred seat on @Delta flight. Soon found out that there was no extra leg room. Really? Very misleading.,,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1863814,"@Delta Very frustrating when u call customer service, wait on hold only to b told ""we don't know why u got that email, buy ur tickets r worthless""",,ESCALATE,HUMAN_REQUEST,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2072392,@Delta @824 I have tix to GPT 10/13. With Hurricane Nate is Delta allowing refund or changes?,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1300178,@delta can you confirm that my ticket says infant in lap?,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
51770,@Delta That’s ideal. Thanks!,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1832873,"Pretty shoddy service from @Delta - Not only am I getting to my destination 9 hours late, but no compensation other than a $15 voucher?!",,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
949319,"@Delta This is what the form you sent me says, which is why I started filling out the other form. [URL]",,ESCALATE,LOW_CONTEXT,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
124894,"Happy Thanksgiving to the US from Cleveland! Thank you @delta for the great flight!

📸 by… [URL]",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
244380,@Delta Can you please explain to me why your flight attendants refused to give my baby milk on a flight this morning? Unacceptable.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
372250,"Forced to check my bag, bc #Delta said bins were full, only to see dozens of spots/empty bins. #notcool #showrespect @Delta [URL]",,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1251779,Officially in love with @Delta [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
338217,@Delta It bothers me that you charge $29 for a minor to join you in the Delta Club. It is not like a minor should qualify for an American Express.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1592592,@Delta A good way to do that=don't charge 4 times or more what you usually charge for tickets to and from a struggling area,,AUTO_HANDLE,SAFE_INFORMATIONAL,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1756459,@Delta @528891 No ..not the case. Watch..your sister will fly out tomorrow. And delta will offer her $100 voucher.,,ESCALATE,HUMAN_REQUEST,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
94142,@Delta Had to do it through the website. The app does show it now. Removed the app from my iPhone and reinstalled and kept getting error.,,AUTO_HANDLE,SAFE_INFORMATIONAL,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2263859,@Delta why am I zone 3 and cannot choose a preferred seat as a Silver member? [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
411942,@Delta Flight delayed in Europe? Tweet us your flight delay &amp; we'll respond with the amount of compensation you're eligible for! ✈️ $£€,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2223517,Hey @Delta you made 20 people run to make a connection. Then wouldn’t let them on the plane. Then downgraded my ticket from 1st to coach - for the next flight (in 4 hours). Outrageously bad customer service and coordination.,,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2643148,Delayed at JFK. Something wrong with the plane. Took an hour to fix. @delta made us wait in the plane? The worst.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1413943,I know I always say it but the truth stands - @Delta is the best! Thank you for the Medallion Upgrade! #DR2017 #greattrip,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
660653,"@DELTA Delta Reserve Card Holder. Crossed spending amount for 15,000 MQMs last week. Being told 4-6 weeks to see the MQMs hit my account. @116988 says call you and @239134 says call them. Need those MQMs sooner given upcoming travel. Please help.",,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1732185,"My life, my journey. @delta #travelwarrior #adventuretravel #goodlife #exploreeverything [URL]",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1635964,@Delta Having the individual lines to be in prevented people from just blocking the boarding area from being able to get through.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1606426,@delta Looks like I was double charged for some tickets I bought a few days ago on [URL] How do I fix this? Thanks,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2034092,@Delta how long does it take for the Skymiles app to account for your most recent flights?,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1358373,@Delta Sent. Thank you!,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1787928,Thanks @Delta for making sure my flight to Florida is stupid hot...maybe fix things with all that money I spend on tickets [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2579514,Nobody is gonna understand my frustration rn but @Delta didn’t transfer my upgrade request when I switched flights. #youhadonejob,,ESCALATE,HUMAN_REQUEST,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1642116,When @delta keeps you waiting to deboard the plane for twice the length of the flight 👌,"@501964 Oh no! Very sorry for the lengthy wait, Andy. *AFN | ",AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1670484,@Delta Haven’t tried it yet. Keep you posted.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1460047,@Delta I just checked Luke's account. Only 2 segments of 6 were credited. Please advise.,,ESCALATE,VERIFICATION_REQUIRED,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
816683,@Delta upset Gold Medallion. Delta flight from JAX to JFK delayed 4+ hours and you can’t even waive Sky Club access fee?? Very petty.,,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2082143,@136083 @Delta Why is Fox News not available on Delta this morning? Only channel in entire lineup not available... Only #FakeNews [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1827493,What would be better @Delta is to find out who is in charge of the ticketing area @2961 and see where the breakdown is in their logistics. [URL],,ESCALATE,HUMAN_REQUEST,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
993567,@Delta Can’t wait to fly @SouthwestAir I bet they wouldn’t steal my money,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
767133,@Delta Unfortunately she has since her side was more complex with the layover. Guess she is going to Nicaragua for her 30th alone 😭😂😭,,ESCALATE,OTHER,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
714818,@Delta Check the DM please!,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2140563,@Delta Thank you!! You guys are amazing,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2176926,@128955 @126403 @Delta i’ve done EXACTLY that before! flew frontier to my destination and had such a bad experience that i booked a one-way @delta ticket over the counter to get home. frontier blowwws 👎,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1151049,@Delta @251476 CS100 would be better,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1810448,@Delta,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1329472,@Delta hi - am able to pay using both miles and money? Wanted to confirm before transferring Amex points to Delta. Thanks,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
569699,@Delta Thank you for replying!,,ESCALATE,HUMAN_REQUEST,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
801114,@Delta Yup. No problem this morning. But for 20 minutes last night I couldn’t log in to my account.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1998419,@Delta help! I left my @2693 @27836 #YoungScientist engraved Kindle on an airplane today. MSP to FSD 9:10am seat pocket row 28 window.,,ESCALATE,LOW_CONTEXT,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1354761,@Delta can you help me with tight comnection,,AUTO_HANDLE,SAFE_INFORMATIONAL,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
